step,tokens,seconds,train_loss,val_loss
0,0,0.0,5.6557,5.6601
250,4096000,156.7,1.9825,2.1005
500,8192000,309.5,1.4966,1.7008
750,12288000,457.5,1.3336,1.5665
1000,16384000,605.7,1.2235,1.4954
1250,20480000,762.4,1.1417,1.4919
1500,24576000,913.9,1.0742,1.4707
1750,28672000,1073.8,1.0242,1.4848
1915,31375360,1200.6,1.0106,1.4792
