step,tokens,seconds,train_loss,val_loss
0,0,0.0,5.6557,5.6601
250,4096000,102.3,1.9701,2.0822
500,8192000,204.5,1.4904,1.6954
750,12288000,306.6,1.3306,1.5668
1000,16384000,408.7,1.2241,1.4935
1250,20480000,510.7,1.1438,1.4974
1500,24576000,612.6,1.0672,1.4777
1750,28672000,714.8,0.9938,1.5040
2000,32768000,816.9,0.9374,1.5267
2250,36864000,919.1,0.8758,1.5573
2500,40960000,1021.1,0.8215,1.5818
2750,45056000,1123.0,0.7853,1.6067
2935,48087040,1200.2,0.7668,1.6044
