step,wall_s,bytes_seen,bytes_per_s,lr,train_nll,select_acc,select_nll,select_rank,peak_mem_bytes,halflife_median,halflife_p90
1,0.039,1024,26081.0,0.0003,5.55495,0.0,5.59243,143.61,0,28.606,512.951
627,12.04,642048,53325.5,0.0003,4.0693,0.0,5.75431,59.64,0,27.84,462.702
1217,24.047,1246208,51823.1,0.0003,3.13882,0.0,5.91984,43.776,0,24.814,404.955
1831,36.048,1874944,52011.7,0.0003,2.82555,0.0,4.73277,18.274,0,22.927,371.552
2133,42.013,2184192,51988.7,0.0003,2.73451,0.004,3.84973,17.42,0,21.658,359.223
